step,ppl,gN,bleu
100,568.51,21.43,0
200,269.03,14.45,0
300,178.01,12.43,0
400,151.52,10.67,0
500,135.2,10.29,0
600,124.38,9.41,1.18
700,113,9.07,1.18
800,105.87,8.21,1.18
900,101.63,10.08,1.18
1000,98.2,8.95,1.18
1100,88.46,7.77,1.18
1200,82.03,8.01,1.18
1300,83.44,8.93,1.18
1400,79.1,7.57,1.18
1500,75.12,7.09,1.18
1600,77.73,9.56,1.2
1700,73.71,7.42,1.2
1800,70.3,7.62,1.2
1900,72.52,8.25,1.2
2000,69.48,7.89,1.2
2100,66.45,7.44,1.49
2200,60.7,8.24,1.49
2300,59.21,8.19,1.49
2400,58.9,7.86,1.49
2500,57.38,6.57,1.49
2600,58.08,10.14,1.83
2700,57.23,6.4,1.83
2800,56.26,9.07,1.83
2900,55.14,9.09,1.83
3000,55.08,8.8,1.83
3100,52.95,7.72,2.14
3200,48.02,8.88,2.14
3300,45.63,9.03,2.14
3400,45.47,7.6,2.14
3500,45.61,6.89,2.14
3600,45.64,9.45,2.31
3700,45.22,9.28,2.31
3800,45.49,7.68,2.31
3900,45.11,8.5,2.31
4000,43.91,8.27,2.31
4100,43.61,8.44,2.79
4200,40.71,8.51,2.79
4300,36.11,5.77,2.79
4400,36.94,8.66,2.79
4500,35.96,8.53,2.79
4600,38.81,8.5,3.05
4700,36.69,6.81,3.05
4800,36.78,9.78,3.05
4900,36.09,9.09,3.05
5000,36.35,10.17,3.05
5100,35.46,6.39,3.48
5200,36.09,8.35,3.48
5300,29.82,6.51,3.48
5400,29.91,9.4,3.48
5500,29.59,8.39,3.48
5600,29.69,7.27,3.66
5700,30.04,11.27,3.66
5800,30.09,9.58,3.66
5900,29.73,8.97,3.66
6000,30.06,11.13,3.66
6100,30.13,7.93,3.87
6200,29.97,9.58,3.87
6300,27.39,9.56,3.87
6400,24.63,7.39,3.87
6500,24.82,10.4,3.87
6600,25.13,9.34,4.52
6700,24.68,7.84,4.52
6800,25.07,9.62,4.52
6900,25.45,9.98,4.52
7000,26.21,10.58,4.52
7100,25.14,9.61,4.52
7200,25.75,9.18,4.52
7300,25.25,8.34,4.52
7400,20.91,10.91,4.52
7500,20.96,9,4.52
7600,21.29,9.72,4.63
7700,21.48,12.34,4.63
7800,21.83,12.21,4.63
7900,21.71,9.91,4.63
8000,21.85,7.91,4.63
8100,21.8,9.54,4.82
8200,22.38,12.89,4.82
8300,22.22,12.15,4.82
8400,19.33,7.27,4.82
8500,17.67,7.49,4.82
8600,18.26,9.49,5.04
