step,ppl,gN,bleu
100,581.01,16.58,0
200,263.1,12.81,0
300,178.95,11.14,0
400,150.67,12.14,0
500,133.58,9.62,0
600,122.18,9.52,1.01
700,110.56,7.54,1.01
800,103.59,8.03,1.01
900,97.39,8.93,1.01
1000,96.45,6.83,1.01
1100,85.95,7.5,1.17
1200,79.55,7.18,1.17
1300,78,6.83,1.17
1400,75.36,7.87,1.17
1500,72.25,6.93,1.17
1600,73.01,8.55,1.5
1700,70.34,6.73,1.5
1800,68.67,7.58,1.5
1900,65.44,7.54,1.5
2000,65.82,7.43,1.5
2100,62.14,8.78,1.97
2200,55.46,7.68,1.97
2300,55.28,9.59,1.97
2400,53.8,7.15,1.97
2500,53.55,6.86,1.97
2600,52.6,7.78,2.27
2700,52.46,8.81,2.27
2800,50.95,6.85,2.27
2900,50.1,8.5,2.27
3000,49.99,8.46,2.27
3100,48.69,7.55,2.88
3200,43.74,7.83,3.09
3300,41.98,8.46,3.09
3400,41.08,6.91,3.09
3500,41.15,9.91,3.09
3600,41.57,7.68,3.24
3700,40.39,8.46,3.24
3800,39.28,9.44,3.24
3900,40.8,9.07,3.24
4000,39.37,7.2,3.24
4100,39.06,9.82,3.6
4200,37.17,10.22,3.85
4300,32.33,6.88,3.85
4400,32.79,8.15,3.85
4500,32.66,9.89,3.85
4600,32.41,7.36,4.01
4700,32.68,10.26,4.01
4800,33.51,10.44,4.01
4900,32.56,8.71,4.01
5000,32.28,8.91,4.01
5100,32.29,7.25,4.01
5200,32.31,9.78,4.01
5300,26.45,7.89,4.49
5400,27.1,10.33,4.49
5500,27.42,7.6,4.49
5600,26.8,6.61,4.56
5700,26.4,7.94,4.56
5800,26.89,8.66,4.56
5900,27.26,9.8,4.56
6000,27.19,10.71,4.56
6100,27.05,7.79,4.7
6200,27.05,8.26,4.7
6300,24.64,10.22,4.71
6400,21.76,7.42,4.71
6500,22.38,8.78,4.71
6600,22.82,12.53,4.85
6700,22.57,9.15,4.85
6800,22.7,9.17,4.85
6900,23.66,11.4,4.85
7000,22.71,7.56,4.85
7100,23.77,11.21,5.19
7200,23.22,7.23,5.19
7300,22.84,9.87,5.19
7400,19.02,11,5.19
7500,18.75,7.4,5.19
7600,19.88,9.34,5.19
7700,19.41,7.03,5.19
7800,19.39,8.04,5.19
7900,19.51,9.88,5.19
8000,19.66,9.77,5.19
8100,19.91,10.9,5.19
8200,20.28,11.23,5.19
8300,20.17,8.84,5.19
8400,17.53,10.84,5.57
8500,16.62,12.33,5.57
8600,16.25,8.8,5.57
8700,16.84,13.41,5.57
8800,17,8.28,5.57
8900,16.92,8.77,5.57
9000,17.38,10.42,5.57
9100,17.33,12.01,5.57
9200,17.7,8.82,5.57
9300,17.55,8.7,5.57
9400,17.27,11.58,5.66
9500,14.4,13.21,5.66
9600,14.21,8.7,5.66
9700,14.82,8.73,5.66
9800,14.62,8.62,5.66
9900,15.04,12.02,5.66
10000,15.48,13.46,5.66
10100,15.74,13.26,5.66
10200,15.63,9.27,5.66
10300,15.48,8.83,5.66
10400,15.82,12.16,5.66
10500,13.11,8.67,5.74
10600,12.78,13.86,5.74
10700,12.99,10.77,5.74
10800,13.36,12.41,5.74
10900,13.39,10.08,5.74
11000,14.01,12.61,5.74
11100,13.5,8.8,5.74
11200,13.99,11.45,5.74
11300,14.2,12.5,5.74
11400,13.9,8.55,5.74
11500,13.56,12.43,5.74
11600,11.21,8.66,5.84
11700,11.63,9.04,5.84
11800,11.73,11.11,5.84
11900,11.98,10.84,5.84
12000,12.16,11.8,5.84
12100,12.52,15.49,5.84
12200,12.43,9.05,5.84
12300,12.56,8.46,5.84
12400,12.99,12.2,5.84
12500,13.13,12.77,5.84
12600,10.29,10.04,5.84
12700,10.72,12.51,5.84
12800,10.45,8.48,5.84
12900,10.85,10.81,5.84
13000,11.24,12.13,5.84
13100,11.27,9.87,5.92
13200,11.34,12.02,5.92
13300,11.44,9.11,5.92
13400,11.66,10.87,5.92
13500,11.64,12.22,5.92
13600,11.21,14.91,6.06
13700,9.59,13.77,6.06
13800,9.74,9.48,6.06
13900,9.97,11.03,6.06
14000,10.25,12.94,6.06
14100,10.24,10.23,6.06
14200,10.53,12.18,6.06
14300,10.57,14.77,6.06
14400,10.68,9.63,6.06
14500,10.76,8.71,6.06
14600,10.74,9.62,6.06
14700,8.86,12.18,6.06
14800,8.8,11.46,6.06
14900,9.15,12.22,6.06
15000,9.25,11.17,6.06
15100,9.1,10.16,6.14
15200,9.08,10.06,6.14
15300,8.96,8.63,6.14
15400,9.13,9.02,6.14
15500,9.16,12.91,6.14
15600,9.02,10.71,6.14
15700,8.19,13.98,6.14
15800,7.69,10.14,6.14
15900,7.74,8.86,6.14
16000,7.9,10.87,6.14
16100,8.15,19.35,6.14
16200,8.01,8.93,6.14
16300,8,8.67,6.14
16400,8.17,9.22,6.14
16500,8.18,10.58,6.14
16600,8.25,9.89,6.14
16700,8.02,9.97,6.14
16800,7.16,8.7,6.14
16900,7.06,8.78,6.14
17000,7.1,8.72,6.14
17100,7.18,8.67,6.27
17200,7.3,9.21,6.27
17300,7.28,8.83,6.27
17400,7.35,9.22,6.27
17500,7.37,10.28,6.27
17600,7.33,9.21,6.33
17700,7.36,9.95,6.33
17800,6.96,8.98,6.33
17900,6.87,9.28,6.33
18000,6.9,9.06,6.33
18100,6.99,9.36,6.33
18200,6.97,8.99,6.33
18300,7,9.13,6.33
18400,7.09,8.93,6.33
18500,7.04,8.78,6.33
18600,7.08,9.24,6.33
18700,7.03,8.86,6.33
18800,6.93,8.95,6.4
18900,6.58,8.76,6.4
19000,6.72,9.01,6.4
19100,6.6,8.79,6.4
19200,6.63,8.87,6.4
19300,6.7,8.97,6.4
19400,6.79,9.23,6.4
19500,6.73,8.93,6.4
19600,6.76,8.85,6.4
19700,6.77,10.36,6.4
19800,6.85,10.01,6.4
19900,6.53,9.23,6.4
20000,6.48,8.91,6.4
